Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
APOCYNACEAE,Apocynum,cannabinum,L.,,,W.J. Beal Botanical Garden.  MI State Univ. collected at Portage Lake Prairie,,1/2001,G.J. Fritz,,
APOCYNACEAE,Apocynum,cannabinum,L.,Indian hemp,,"St. Louis CO., MO",,1993,G.J. Fritz,,
APOCYNACEAE,Apocynum,cannabinum,L.,Indian hemp,,,,1977,H.C. Cutler,,
APOCYNACEAE,Rauvolfia,tetraphylla,L.,,,"The Botanic Garden of Smith College Northampton, MA    01063",,6/16/06,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,aquifolium,L.,,,Botanical Garden of Bonn University,,1/18/99,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,cassine,L.,"Dahoon, Cassena",,"Orland E. White Arboretum. Blandy Experimental Farm.  Univ. or Virginia.  Boyce, VA",,1996,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,decidua ,Walt.,Deciduous holly,,"St. Charles Co., MO",,1984,L.W. Blake,,
AQUIFOLIACEAE,Ilex,decidua,Walt.,Deciduous holly,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
AQUIFOLIACEAE,Ilex,glabra ,(L.) A. Gray,,,"Orland E. White Arboretum. Blandy Experimental Farm.  Univ. or Virginia.  Boyce, VA",,1994,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,laevigata ,(Pursh),,,Botanic Garden of Smith College,,11/2009,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,opaca,Ait.,,Seeds,Botanic Garden of Smith College,113,11/2009,G.J. Fritz,,NEEDS LABEL
AQUIFOLIACEAE,Ilex,opaca,,American holly,,Botanic Garden of Smith College,,4/9/2012,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,opaca,Sol.,American holly,,"W. Feliciana Parish, LA",, 1985,M. Standifer,,
AQUIFOLIACEAE,Ilex,verticillata ,(L.) Gray,,,W.J. Beal Botanical Garden.  MI State Univ.,,11/3/94,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,verticillata ,(L.) Gray,Winterberry,,,,1977,H.C. Cutler,,
AQUIFOLIACEAE,Ilex,vomitoria,Aiton,"Black Drink, Cassina Tea",,Prepared by San Luis Archaeological and Historic site in Tallahassee,,2/17/92,G.J. Fritz,,
AQUIFOLIACEAE,Ilex,vomitoria,Aiton,Yaupon,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
AQUIFOLIACEAE,Ilex,laevigata,,Smooth Winterberry,,"Botanic Garden of Smith College Northampton, MA  01063",,4/9/12,G.J. Fritz,,
AQUIFOLIACEAE,Nemopanthus,mucronatus,(L.) Trel.,,,"Botanic Garden of Smith College Northampton, MA  01063",,9/2004,G.J. Fritz,,
ARACEAE,Acorus,americanus,,,,Ion Nursery,,1995,M. Williams,,
ARACEAE,Acorus,calamus,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
ARACEAE,Acorus,calamus,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
ARACEAE,Arisaema,dracontium,(L.) Schott,,,"Botanic Garden of Smith College Northampton, MA  01063",,1999,G.J. Fritz,,
ARACEAE,Arisaema,dracontium ,(L.) Schott,,,"Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
ARACEAE,Arisaema,dracontium,(L.) Schott,Green dragon,,"Union Co., IL",,1977,N.L. Lopinot,,
ARACEAE,Arisaema,dracontium,(L.) Schott,Green dragon,,"Botanic Garden of Smith College, Northampton, MA 01063",,4/16/07,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum,(L.) Torr.,,,"Botanic Garden of Smith College Northampton, MA  01063",,9/2004,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum ,(L.) Torr.,,,"Botanic Garden of Smith College Collected from Hampshire county, MA",,6/16/06,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum,(L.) Schott.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Baker Woodlot,,1999,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum,(L.) Schott.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Baker Woodlot,,1/2001,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum,,,,"Botanic Garden of Smith College Northampton, MA.  Collected at Whately, MA",,1998,G.J. Fritz,,
ARACEAE,Arisaema,triphyllum,(L.) Schott,Jack-in-the-pulpit,,"Ann Arbor, MI",,1990,G.J. Fritz,,
ARACEAE,Arum,maculatum,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
ARACEAE,Calla,palustris,L.,,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List",,9/2002,G.J. Fritz,,
ARACEAE,Orontium,aquaticum ,L.,,,"Botanic Garden of Smith College Northampton, MA",,1998,G.J. Fritz,,
ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List",,9/2002,G.J. Fritz,,
