Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
RANUNCULACEAE,Thalictrum,flavam,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
RESEDACEAE,Reseda,alba,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
RESEDACEAE,Reseda,luteola ,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
RHAMNACEAE,Berchemia,scandens ,(Hill) K. Koch,Supple-jack,,Oklahoma,,1993,Jacky Ng,,
RHAMNACEAE,Ceanothus,americanus ,L.,New Jersey tea,,"Missouri Wildflower Nursery.  Jefferson City, MO",,6/1994,G.J. Fritz,,
RHAMNACEAE,Ceanothus,americanus ,L.,New Jersey tea,,"St. Louis Co., MO",,1993,L.W. Blake,,
RHAMNACEAE,Ceanothus,velutina ,Dougl.,,,"Hoyt Arboretum.  Portland, OR  97221",,1994,G.J. Fritz,,
RHAMNACEAE,Rhamnus,alaternus,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden Athens, Greece",,10/2001,G.J. Fritz,,
RHAMNACEAE,Rhamnus,californica- occidentalis ,Esch.,Coffee-berry,,"Hoyt Arboretum.  Portland, OR  97221",,1994,G.J. Fritz,,
RHAMNACEAE,Rhamnus,caroliniana ,Walt.,Carolina buckthorn,,"M.C.N.P., Edmonson Co., KY",,7/14/80,G.E. Wagner,,
RHAMNACEAE,Rhamnus,caroliniana ,Walt.,Carolina buckthorn,,,,1977,H.C. Cutler,,
RHAMNACEAE,Rhamnus,cathartica,L.,,,"Botanical Gardens at University of Leipzig, Germany Collected at Dillstadt, Thuringen, Germany",,1998,G.J. Fritz,,
RHAMNACEAE,Rhamnus,cathartica ,L.,Common buckthorn,,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
RHAMNACEAE,Rhamnus,cathartica ,L.,Common buckthorn,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
RHAMNACEAE,Rhamnus,frangula ,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield, MA",,1997,G.J. Fritz,,
RHAMNACEAE,Rhamnus,frangula ,L.,Alder buckthorn,,"Botanischer Garten.  U. Regensburg, Germany",,6/1994,G.J. Fritz,,
RHAMNACEAE,Rhamnus,lanceolata,var. lanceolata,,,"Mobot 906236.  Bush 10118.  Clark Co., MO 7/27/1923",,fall 2000,M. Marston,,
RHAMNACEAE,Rhamnus,purshiana,DC,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
RHAMNACEAE,Rhamnus,purshiana,DC,"Cascara, Chittim",,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
RHAMNACEAE,Rhamnus,purshiana,DC,Cascara,,"Hoyt Arboretum.  Portland, OR  97221",,4/94,G.J. Fritz,,
RHAMNACEAE,Zizihus,jujuba ,Mill.,Common Jujube,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
Rhamnaceae,Ziziphus,mauritiana,,Indian jujube,,USDA GRIN,36300,2023,,,
Rhamnaceae,Ziziphus,mauritiana,,Indian jujube,,USDA GRIN,67751,2023,,,
ROSACEAE,Agrimonia,eupatoria ,L.,,,"Institut fur Pflanzengenetik, Gatersleben, Germany",,1994,G.J. Fritz,,
ROSACEAE,Amelanchier,,sp. Medic,Serviceberry,,"St. Louis Co., MO",,6/23/93,L.W. Blake,,
ROSACEAE,Amelanchier,alnifolia ,Nutt.,Saskatoon service berry,,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
ROSACEAE,Amelanchier,arborea ,(Michx. F) Fern,Shadbush,,"Cuivre River State Park.  Lincoln Co., MO",,6/1994,G.J. Fritz,,
ROSACEAE,Amelanchier,canadensis,(L.) Medik.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
ROSACEAE,Amelanchier,canadensis,,,Seeds,"From Sheffield Seed Co.  Locke, NY  13092",,1993,M. Williams,,
ROSACEAE,Amelanchier,denticalata,(H.B.K) C. Kock,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
ROSACEAE,Amelanchier,sanguinea,(Pursh.) DC,Round-leaf Serviceberry,,"Emmet Co., MI",,1985,L.W. Blake,,
ROSACEAE,Amelanchier,utahensis,Koepne.,Utah serviceberry,,"Mt. Timpanger, Utah.  (A.O. Garrett 5612)",,1977,H.C. Cutler,,
ROSACEAE,Amelanchier,utahensis ,Koepne.,,,Arch. Site 42SA585,,1977,H.C. Cutler,,
ROSACEAE,Aphanes,inexspectata,W.Lippert,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
ROSACEAE,Aronia,prunifolia,,,,W.J. Beal Botanical Garden. MI State Univ. Collected from Manistee Co. in muck soil sloping upland to acidd sand at Wellston-Chittenden Lake,,2003,G.J. Fritz,,
ROSACEAE,Cercocarpus,montanus,,Mountain mahogany,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Chaenomeles,japonica ,Lindl.,Dwarf Japonese  quince,,"Price Rd.  Olivette, St. Louis CO., MO",,10/1987,L.W. Blake,,
ROSACEAE,Cowania,mexicana,,Cliffrose,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Crataegus,,sp.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
ROSACEAE,Crataegus,,sp.,,,"Poverty Point State Park.  West Carroll Parish, LA",,1990,G.J. Fritz,,
ROSACEAE,Crataegus,,sp.,,,"Montgomery Co., OH",,1981,G.E. Wagner,,
ROSACEAE,Crataegus,,sp.,Hawthorn,,,,1978,L.W. Blake,,
ROSACEAE,Crataegus,,sp.,Hawthorn,,"From Incinerator site (33My57) Montgomery Co., Dayton, OH",,8/22/78,G.E. Wagner,,
ROSACEAE,Crataegus,mollis,(Torr. & A. Gray) Schelle,,,"Botanic Garden of Smith College.  Northampton, MA.",,1997,G.J. Fritz,,
ROSACEAE,Crataegus,mollis,(Torr. & A. Gray) Schelle,Hawthorn,,"Missouri Botanical Garden, St. Louis, MO",,1978,L.W. Blake,,
ROSACEAE,Crataegus,phaenopyrum ,(L.f.) Medic.,,,"Botanic Garden of Smith College.  Northampton, MA.",,1997,G.J. Fritz,,
ROSACEAE,Crataegus,phaenopyrum ,(L.f.) Medic.,Washington thorn,,"St. Louis Co., MO",,1975,G.E. Wagner,,
ROSACEAE,Crataegus,pinnatifida,,Chinese hawthorn,,"Chengdu, China",,2011,R. Spengler,,
ROSACEAE,Crataegus,rubra,,,,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
ROSACEAE,Crataegus,viridis,L.,Green haw,,"Iberville Parish, LA",,1986,M. Standifer,,
ROSACEAE,Crataegus,viridis ,L.,Green haw,,"St. Louis, MO",,1978,L.W. Blake,,
ROSACEAE,Cydonia,oblonga,Mill.,Quince,,"St. Louis Co., MO",,1980,G.E. Wagner,,
ROSACEAE,Duchesnea,indica ,(Andrews),Indian strawberry,,"From G.J. Fritz's front yard.  St. Louis CO., MO",,6/1994,,,
ROSACEAE,Duchesnea,indica ,(Andrews) Focke,Indian strawberry,,"Tensas Parish, LA",,1990,G.J. Fritz,,
ROSACEAE,Fallugia,paradoxa,,Apache Plume,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Fragaria,,,,,"China, Pixian agricultural field",,12/2010,R. Spengler,,
ROSACEAE,Fragaria,vesca,L.,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
ROSACEAE,Fragaria,vesca,L.,Woodland strawberry,,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
ROSACEAE,Fragaria,virginiana ,Duchesne,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
ROSACEAE,Fragaria,virginiana,Duch.C,,,"Botanic Garden of Smith College.  Northampton, MA.",,11/2002,G.J. Fritz,,
ROSACEAE,Fragaria,virginiana ,Duchesne,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,1997,G.J. Fritz,,
ROSACEAE,Geum,canadense,Jacq.,,,"W.J. Beal Botanical Garden. MI State Univ. Collected from Ingham Co., MI in Southern Floodplain Forest at Legg Park floodplain",,2003,G.J. Fritz,,
ROSACEAE,Geum,canadense,Jacq.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
ROSACEAE,Geum,canadense,Jacq.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/26/94,G.J. Fritz,,
ROSACEAE,Geum,chiloense,Balb.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
ROSACEAE,Geum,macrophyllum, Willd.,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
ROSACEAE,Geum,montanum ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
ROSACEAE,Geum,roylei,Bolle.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
ROSACEAE,Holodiscus,dumosus,,Cliff spirea,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Malus,pumila ,Mill,,,St. Louis grocery store,,1986,L.W. Blake,,
ROSACEAE,Malus,spectabilis,Borckh.,,,"""Julia & Alexander N. Diomides"" Botanic Garden Athens, Greece",,9/2001,G.J. Fritz,,
ROSACEAE,Malus,sylvestris ,Mill.,Apple,,"Botanical Garden, Halle, Germany.  Collected at Sachsen-Anhalt, Dessau",,1993,,,
ROSACEAE,Physocarpus,opulifolius ,(L.) Maxim,,,"Jefferson Co., MO W.J. Beal Botanical Garden. MI State Univ.",,5/28/92,G.J. Fritz,9/28/94,G.J. Fritz
ROSACEAE,Physocarpus,opulifolius ,(L.) Maxim,Ninebark,,"Jefferson Co., MO",,5/28/92,G.J. Fritz,,
ROSACEAE,Physocarpus,opulifolius ,(L.) Maxim,Ninebark,,"St. Francois Co., MO",,10/30/86,L.W. Blake,,
ROSACEAE,Potentilla,,,,,"Tasbas, Kazakhstan in the hills",,7/2011,R. Spengler,,
ROSACEAE,Potentilla,fragiformis ,Willd.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
ROSACEAE,Potentilla,fruticosa,,Shrubby cinquefoil,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Potentilla,recta,L.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
ROSACEAE,Potentilla,recta,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
ROSACEAE,Potentilla,tridentata ,Ait.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
ROSACEAE,Prunus,,sp.,"Cherry, Plum",,,,8/14/83,D.B. Epstein,,
ROSACEAE,Prunus,,sp.,Plum,,"Jefferson Co., MO",,1976,L.W. Blake,,
ROSACEAE,Prunus,,sp.,Bing cherry,,"Soulard Market, St. Louis, MO",,1976,G.E. Wagner,,
ROSACEAE,Prunus,,sp.,Plum,,"Langlier Site.  Jefferson CO., MO",,1974,C. Erickson,,
ROSACEAE,Prunus,,sp.,Plum,,,,,C. Erickson,,
ROSACEAE,Prunus,,sp.,Bing cherry,,,,,C. Erickson,,
ROSACEAE,Prunus,americana ,,American plum,Seeds,Sheffield Seed Company,,1993,M. Williams,,NEEDS LABEL
ROSACEAE,Prunus,americana ,Marsh.,American plum,,,,,C. Erickson,,
ROSACEAE,Prunus,andersonii ,Gray,Desert peach,,"Moapa Valley, Nevada",,1977,H.C. Cutler,,
ROSACEAE,Prunus,angustifolia,Marsh.,Chicasaw plum,,"Edmonson Co., KY",,1980,G.E. Wagner,,
ROSACEAE,Prunus,besseyi,,Western sand cherry,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Prunus,caroliniana ,Aiton.,Carolina laurel cherry,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
ROSACEAE,Prunus,cerasus ,L.,Cultivated sour cherry,,,,1980,L.W. Blake,,
ROSACEAE,Prunus,domestica ,L.,Prune,,,,,C. Erickson,,
ROSACEAE,Prunus,emarginata ,Dougl.,Wild cherry,,Idaho (Mulford 1892),,1977,H.C. Cutler,,
ROSACEAE,Prunus,hortulana,Bailey,Wild goose plum,,"St. Louis Co., MO",,1972,L.W. Blake,,
ROSACEAE,Prunus,pensylvanica ,L.,Pin cherry,,"Emmet Co., MI",,1980,L.W. Blake,,
ROSACEAE,Prunus,pensylvanica ,L.,Pin cherry,,"Botanic Garden of Smith College. Northampton, MA. Northampton, Hampshire county, MA. Disturbed conifer/deciduous forest.",,4/16/07,G.J. Fritz,,
ROSACEAE,Prunus,persica,(L.) Batsch.,Old Spanish peach,,"Picuris Pueblo, H.W. Dick",,1977,H.C. Cutler,,
ROSACEAE,Prunus,persica ,(L.) Batsch.,Peach,,,,,C. Miksicek,,
ROSACEAE,Prunus,pumila ,L.,Sand cherry,,"Emmet Co., MI",,1985,L.W. Blake,,
ROSACEAE,Prunus,serotina,J.F. Ehrh.,,,Botanic Garden of Smith College,,11/2009,G.J. Fritz,,
ROSACEAE,Prunus,serotina,J.F. Ehrh.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Whately and Conway, MA",,1999,G.J. Fritz,,
ROSACEAE,Prunus,serotina,J.F. Ehrh.,Black cherry,,"From small creek near 23SL442 Site.  Bridgeton, St. Louis Co., MO",,4/2/88,L.W. Blake,,
ROSACEAE,Prunus,serotina,J.F. Ehrh.,Wild black cherry,,"Savannah, TN",,1978,L.W. Blake,,
ROSACEAE,Prunus,virens ,(Wesy & Standl.) Shreve,Southwestern chokecherry,,,,1977,H.C. Cutler,,
ROSACEAE,Prunus,virginiana ,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield, MA",,1999,G.J. Fritz,,
ROSACEAE,Prunus,virginiana,L.,Common chokecherry,,"Mackinaw City.  Emmet, Co., MI",,8/1990,L.W. Blake,,
ROSACEAE,Prunus,virginiana,L.,chokecherry,,"Emmet Co., MI",,1985,L.W. Blake,,
ROSACEAE,Prunus,virginiana,L.,chokecherry,,,,,C. Erickson,,
ROSACEAE,Prunus,virginiana,L.,chokecherry,,,,,C. Miksicek,,
ROSACEAE,Prunus,virginiana,L.,Western chokecherry,,"forma demissa, G.M. Jones",,1977,H.C. Cutler,,
ROSACEAE,Prunus,virginiana,L.,chokecherry,,The Botanic Garden of Smith College,,2012,G.J. Fritz,,
ROSACEAE,Prunus,virginiana,L.,,Seeds,"The Botanic Garden of Smith College, Collected at Conway, MA",80,1997,G.J. Fritz,,NEEDS LABEL
ROSACEAE,Pycantha,angustifolia ,"Marsh. Franch., Achneid.",,,"Arboretum Trsteno, Hrvatska, Croatia",,2001,G.J. Fritz,,
ROSACEAE,Rosa,,sp.,Wild rose,,Missouri,,,C. Erickson,,
ROSACEAE,Rosa,blanda ,Ait.,Wild rose,,"Emmet Co., MI",,1986,L.W. Blake,,
ROSACEAE,Rosa,blanda ,,Wild rose,Seeds,"Ion Nursery, Harper's Ferry IA",,1995,,,NEEDS LABEL
ROSACEAE,Rosa,carolina ,L. var. carolina,Pasture rose,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Collected at Mariton Wildlife Sanctuary, Bucks Co., PA",,1997,G.J. Fritz,,
ROSACEAE,Rosa,glauca ,Poir.,,,"Botanic Garden of Smith College.  Northampton, MA.",,1994,,,
ROSACEAE,Rosa,palustris,,,,"W.J. Beal Botanical Garden. MI State Univ. Collected from Clinton Co., MI in Prairie Fen at Rose Lake Fen",,2003,G.J. Fritz,,
ROSACEAE,Rosa,palustris ,Marsh.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Rose Lake Fen Drain,,1999,G.J. Fritz,,
ROSACEAE,Rosa,pulverulenta,Bieb.,,,"Botanic Garden of Smith College.  Northampton, MA.",,4/16/07,G.J. Fritz,,
ROSACEAE,Rosa,rugosa,Thunb.,Japoneses rose,,"Botanic Garden of Smith College.  Northampton, MA.",,1994,,,
ROSACEAE,Rosa,virginiana ,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield, MA",,1999,G.J. Fritz,,
ROSACEAE,Rosa,virginiana ,,,Seeds,"Botanic Garden of Smith College.  Northampton, MA.",99,2014,G.J. Fritz,,NEEDS LABEL
ROSACEAE,Rosa,virginiana,Mill.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA.",,1997,G.J. Fritz,,
ROSACEAE,Rosa,virginiana,Mill.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA.",,1997,G.J. Fritz,,
ROSACEAE,Rosa,woodsii,,Woods rose,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
ROSACEAE,Rubus,,sp.,Red raspberry,,"Emmet Co., MI",,1980,L.W. Blake,,
ROSACEAE,Rubus,,sp.,Blackberry,,,,,C. Erickson,,
ROSACEAE,Rubus,,sp.,Red raspberry,,,,,C. Erickson,,
ROSACEAE,Rubus,adoratus,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,1997,G.J. Fritz,,
ROSACEAE,Rubus,adoratus,,,Seeds,"Botanic Garden of Smith College.  Northampton, MA.",100,2014,G.J. Fritz,,NEEDS LABEL
ROSACEAE,Rubus,allegheniensis ,L.H. Bail. (W),,,"Botanic Garden of Smith College.  Northampton, MA.",,11/2002,G.J. Fritz,,
ROSACEAE,Rubus,allegheniensis ,Porter,High-bush blackberry,,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,NEEDS LABEL
ROSACEAE,Rubus,hispidus,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,1997,G.J. Fritz,,
ROSACEAE,Rubus,idaeus,L. (H),,,"Botanic Garden of Smith College.  Northampton, MA.",,11/2002,G.J. Fritz,,
ROSACEAE,Sorbus,acuparia ,L,  European mountain ash,,"Emmet Co., MI",,1986,L.W. Blake,,
ROSACEAE,Sorbus,decora ,(Sarge.) Schneid.,Showy mountain ash (transplanted),,"Emmet Co., MI",,1990,L.W. Blake,,
ROSACEAE,Sorbus,dumosa ,Greene,Western mountain ash,,,,1977,H.C. Cutler,,
ROSACEAE,Spiraea,latifolia ,(Ait.) Borkh.,,,"Botanic Garden of Smith College. Northampton, MA. Northampton, Hampshire county, MA. Disturbed conifer/deciduous forest.",,4/16/07,G.J. Fritz,,
ROSACEAE,Spiraea,tomentosa,,,,"W.J. Beal Botanical Garden. MI State Univ. Collected from Wayne Co., MI in Mesic Sand Prairie at Holloway borrow pit.",,2003,G.J. Fritz,,
RUBIACEAE,Cephalanthus,occidentalis, L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Rose Lake Fen Drain",,1999,G.J. Fritz,,
RUBIACEAE,Cephalanthus,occidentalis, L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield & North Hadley, MA",,1998,G.J. Fritz,,
RUBIACEAE,Cephalanthus,occidentalis, L.,Buttonbush,,"Franklin Co., MO",,12/6/90,L.W. Blake,,
RUBIACEAE,Cephalanthus,occidentalis, L.,Buttonbush,,"Butler Co., KY",,6/29/78,G.E. Wagner,,
RUBIACEAE,Cephalanthus,occidentalis, L.,Buttonbush,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
RUBIACEAE,Cephalanthus,occidentalis, L.,,Seeds,"Botanic Garden of Smith College.  Northampton, MA. Collected at North Hadley,  MA",16,1997,G.J. Fritz,,NEEDS LABEL
RUBIACEAE,Coffea,arabica,L.,,,"Botanic Garden of Smith College.  Northampton, MA.",,5/2001,G.J. Fritz,,
RUBIACEAE,Diodia,virginiana ,L.,Large buttonweed,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
RUBIACEAE,Galium,,sp.,Bedstraw,,"Boyle Co., MS",,1990,G.J. Fritz,,
RUBIACEAE,Galium,aparine,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
RUBIACEAE,Galium,aparine,L.,Cleavers,,"St. Louis Co., MO",,1993,G.J. Fritz,,
RUBIACEAE,Galium,aparine,L.,Cleavers,,"St. Louis Co., MO",,1993,G.J. Fritz,,
RUBIACEAE,Galium,boreale,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
RUBIACEAE,Galium,boreale,L.,Noerhwen bedstraw,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
RUBIACEAE,Galium,schultesii ,Vest.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
RUBIACEAE,Galium,sylvaticum,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
RUBIACEAE,Houstonia,caerulea,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Whately, MA",,1998,G.J. Fritz,,
RUBIACEAE,Houstonia,caerulea,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Whately, MA",,1997,G.J. Fritz,,
RUBIACEAE,Mitchella,repens ,L. HBB,,,Botanic Garden of Smith College,,11/2009,G.J. Fritz,,
RUBIACEAE,Mitchella,repens ,L. HBB,,Seeds,"Botanic Garden of Smith College, wild in Belehertown",92,10/08,,,NEEDS LABEL
RUBIACEAE,Mitchella,repens ,L. N(U),,Seeds,Botanic Garden of Smith College,91,11/2009,G.J. Fritz,,NEEDS LABEL
RUBIACEAE,Mitchella,repens ,L.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
RUBIACEAE,Rubia,tinctorum ,L.,Madder,,,,1977,H.C. Cutler,,
RUTACEAE,Ptelea,trifoliata,,Wafer ash,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
RUTACEAE,Ptelea,trifoliata,L.,"Skunk-bush, Wafer ash",,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
RUTACEAE,Zanthoxylum,americanum ,Mill.,Prickly ash,,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
RUTACEAE,Zanthoxylum,americanum,,"Prickly ash, toothache tree",,"Washington St. Pk., MO",,1987,,,
SALICACEAE,Populus,deltoides,Bartr.,Eastern cottonwood,,"From Incinerator site (33My57), Montgomery Co., Dayton, OH",,,G.E. Wagner,,
SALICACEAE,Populus,tremuloides ,Michaux.,Quaking aspen,,"Emmet Co., MI",,8/10/89,L.W. Blake,,
SALICACEAE,Salix,exigua ,Nutt.,Sandbar willow,,"Santa Fe, NM",,9/30/95,G. Powell,,
SALICACEAE,Salix,nigra,Marsh.,Black willow,,"From west edge of Bt5 field.  Butler Co., KY",,10/14/78,G.E. Wagner,,
SAPINDACEAE,Cardiospermum,halicacabum,L.,Balloon vine,,"From fallow agricultural field near Portage de Sioux St. Charles Co., MO",,10/1996,G. Powell,,
SAPINDACEAE,Cardiospermum,halicacabum,L.,Common balloon vine,,Southern Weed Science Society,,1991,G.J. Fritz,,
SAPINDACEAE,Cardiospermum,halicacabum,L.,Common balloon vine,,"Tensas Parish, LA",,1990,G.J. Fritz,,
SAPINDACEAE,Cardiospermum,halicacabum,L.,Common balloon vine,,"St. Charles Co., MO",,1987,L.W. Blake,,
SAPOTACEAE,Bumelia,lanuginosa,(Michx.) Pers.,False buckthorn,,"Hot Springs, AR",,1977,H.C. Cutler,,
SAPOTACEAE,Calocarpum,sapota,Merr.,"Mamey, Sapota",,,,1977,H.C. Cutler,,
SARRACENIACEAE,Sarracenia,purpurea,,,,"W.J. Beal Botanical Garden. MI State Univ. Collected in Clinton Co., MI in bog at Rose Lake Bog",,2003,G.J. Fritz,,
SAURURACEAE,Saururus,cernuus,,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Sanford Woodlot,,3/1/06,G.J. Fritz,,
SAXIFRAGACEAE,Parnassia,glauca,Raf.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/1/94,G.J. Fritz,,
SAXIFRAGACEAE,Ribes,,L.,Currant,,,,,C. Erickson,,
SAXIFRAGACEAE,Ribes,sanguineum ,Pursh.,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
SAXIFRAGACEAE,Saxifraga,pensylvanicum,L.,Swamp saxifrage,,,,1997,G.J. Fritz,,
SAXIFRAGACEAE,Saxifraga,virginiensis,Michx.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA.",,1997,G.J. Fritz,,
SAXIFRAGACEAE,Saxifraga,virginiensis,Michx.,Early saxifrage,,"Bowman's Hill Wildflower Preserve.  New Hope, PA.",,1995,G.J. Fritz,,
SCROPHULARIACEAE,Agalinis,purpurea,,,,"W.J. Beal Botanical Garden. MI State Univ. Collected from Wayne Co., MI in Mesic Sand Prairie at Holloway borrow pit",,2003,G.J. Fritz,,
SCROPHULARIACEAE,Agalinis,purpurea,(L.) Pennell [P & S],,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
SCROPHULARIACEAE,Agalinis,skinneriana,,,,"W.J. Beal Botanical Garden. MI State Univ. Collected from Midland Co., MI in disturbed wetland in Dry-Mesic Northern Forest at Burrow's borrow pit",,2003,G.J. Fritz,,
SCROPHULARIACEAE,Antirrhinum,majus ,L.,Cultivated  snapdragon,,"Montgomery Co., OH",,1981,G.E. Wagner,,
SCROPHULARIACEAE,Catilleja,coccinea ,(L.) Sprengel.,Indian paintbrush,,"Missouri Wildflower Nursery.  Jefferson City, MO",,6/1994,G.J. Fritz,,
SCROPHULARIACEAE,Catilleja,coccinea ,(L.) Sprengel.,Indian paintbrush,,"Jefferson Co., MO",,1993,G.J. Fritz,,
SCROPHULARIACEAE,Digitalis,,sp.,Foxglove,,Vaughan 2775,,1977,H.C. Cutler,,
SCROPHULARIACEAE,Digitalis,lutea,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/6/07,G.J. Fritz,,
SCROPHULARIACEAE,Digitalis,purpurea ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/9/93,G.J. Fritz,,
SCROPHULARIACEAE,Linaria,vulgaris,Hill.,Butter-and-eggs,,"Flagstaff, AZ",,10/14/95,G. Powell,,
SCROPHULARIACEAE,Orthocarpus,purpurascens,,Owl's Clover,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
SCROPHULARIACEAE,Penstemon,digitalis , Nutt.,Foxglove  beard-tongue,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Collected in Monroe Co., PA",,1997,G.J. Fritz,,
SCROPHULARIACEAE,Penstemon,digitalis , Nutt.,,,W.J. Beal Botanical Garden. MI State Univ.,,6/22/94,G.J. Fritz,,
SCROPHULARIACEAE,Penstemon,digitalis , Nutt. ex Sims,Smooth beard-tongue,,"Shaw Arboretum.  Gray Summit, MO  63039",,6/1994,G.J. Fritz,,
SCROPHULARIACEAE,Penstemon,hirsutus ,(L.) Willd.,Hairy beard-tongue,,"Bowman's Hill Wildflower Preserve.  New Hope, PA.",,1995,G.J. Fritz,,
SCROPHULARIACEAE,Seymeria,macrophylla,Nutt.,Mullein foxglove,,Prairie Moon Nursery,,1995,M. Williams,,
SCROPHULARIACEAE,Seymeria,macrophylla,Nutt.,Mullein foxglove,,"Mammoth Cave State Park, KY",,1995,M. Williams,,
SCROPHULARIACEAE,Verbascum,,sp.,Mullein,,"Flagstaff, AZ",,10/14/95,G. Powell,,
